Dictionary for log(g) = 0.0
5750.0  5.0  0.841  1.058  0.643
6000.0  5.0  0.851  1.066  0.645
6250.0  5.0  0.862  1.075  0.647
6500.0  5.0  0.870  1.081  0.648
6750.0  5.0  0.879  1.088  0.649
7000.0  5.0  0.887  1.093  0.651
7250.0  5.0  0.895  1.098  0.652
7500.0  5.0  0.902  1.102  0.654
7750.0  5.0  0.910  1.106  0.655
8000.0  5.0  0.916  1.109  0.656
8250.0  5.0  0.923  1.112  0.657
8500.0  5.0  0.929  1.115  0.658
8750.0  5.0  0.936  1.118  0.659
9000.0  5.0  0.941  1.121  0.660
9250.0  5.0  0.946  1.125  0.661
9500.0  5.0  0.951  1.128  0.661
9750.0  5.0  0.954  1.130  0.661
10000.0  5.0  0.957  1.132  0.662
10250.0  5.0  0.960  1.135  0.662
10500.0  5.0  0.963  1.137  0.663
10750.0  5.0  0.964  1.139  0.663
11000.0  5.0  0.967  1.141  0.664
11250.0  5.0  0.969  1.143  0.664
11500.0  5.0  0.971  1.144  0.665
11750.0  5.0  0.972  1.146  0.664
12000.0  5.0  0.974  1.148  0.665
12250.0  5.0  0.975  1.150  0.665
12500.0  5.0  0.976  1.151  0.665
12750.0  5.0  0.977  1.153  0.666
13000.0  5.0  0.978  1.154  0.666
14000.0  5.0  0.982  1.159  0.666
15000.0  5.0  0.986  1.163  0.667
16000.0  5.0  0.989  1.168  0.668
17000.0  5.0  0.993  1.171  0.668
18000.0  5.0  0.996  1.175  0.669
19000.0  5.0  0.998  1.178  0.670
20000.0  5.0  1.001  1.182  0.670
21000.0  5.0  1.003  1.185  0.671
22000.0  5.0  1.005  1.187  0.671
23000.0  5.0  1.008  1.190  0.671
24000.0  5.0  1.010  1.192  0.672
25000.0  5.0  1.011  1.194  0.672
26000.0  5.0  1.013  1.197  0.672
27000.0  5.0  1.015  1.199  0.673
28000.0  5.0  1.017  1.200  0.673
29000.0  5.0  1.018  1.202  0.674
30000.0  5.0  1.020  1.205  0.674
31000.0  5.0  1.022  1.206  0.673
32000.0  5.0  1.023  1.208  0.674
33000.0  5.0  1.023  1.209  0.674
34000.0  5.0  1.025  1.211  0.674
35000.0  5.0  1.026  1.212  0.674
36000.0  5.0  1.027  1.213  0.675
37000.0  5.0  1.027  1.214  0.674
38000.0  5.0  1.027  1.214  0.675
39000.0  5.0  1.028  1.215  0.675
40000.0  5.0  1.028  1.216  0.675
41000.0  5.0  1.029  1.216  0.675
42000.0  5.0  1.029  1.216  0.675
43000.0  5.0  1.029  1.217  0.676
44000.0  5.0  1.030  1.217  0.675
45000.0  5.0  1.030  1.218  0.675
46000.0  5.0  1.031  1.218  0.676
47000.0  5.0  1.031  1.218  0.676
48000.0  5.0  1.031  1.219  0.675
49000.0  5.0  1.031  1.219  0.676
50000.0  5.0  1.032  1.220  0.676

