RA                Dec             plx        eplx       pmra       epmra      pmdec      epmdec     gmag      egmag       bpmag     ebpmag     rpmag      erpmag #
139.069320679  -36.665977478     0.3230     0.0638    -4.3310     0.0820     4.6090     0.1000    16.7264     0.0007    17.1465     0.0048    16.1576     0.0038
139.061920166  -36.673049927     0.2666     0.0226    -4.4060     0.0290     4.5320     0.0350    14.5703     0.0003    14.7541     0.0012    14.2348     0.0023
139.055435181  -36.677589417     0.2197     0.0875    -4.2090     0.1120     4.6080     0.1300    17.2781     0.0011    17.7187     0.0100    16.6388     0.0150
138.945648193  -36.669208527     0.3386     0.2092    -4.4440     0.2610     4.5740     0.2980    18.7315     0.0019    19.3059     0.0294    18.0478     0.0160
138.996505737  -36.692146301     0.2745     0.1926    -4.4280     0.2320     4.5010     0.2670    18.5689     0.0021    19.0895     0.0296    17.8886     0.0201
139.060592651  -36.677280426     0.3521     0.0947    -4.6290     0.1230     4.5020     0.1390    17.5521     0.0011    17.9718     0.0150    16.9726     0.0074
139.090362549  -36.630012512     0.3314     0.0671    -4.4270     0.0800     4.6160     0.1030    16.8109     0.0007    17.1576     0.0064    16.2906     0.0075
139.005584717  -36.557128906     0.2469     0.0312    -4.3790     0.0420     4.5810     0.0510    15.4142     0.0004    15.6420     0.0020    15.0319     0.0024
139.041259766  -36.562767029     0.3080     0.0184    -4.4070     0.0240     4.4520     0.0300    13.7105     0.0002    13.9991     0.0012    13.2637     0.0009
138.962188721  -36.687831879     0.2581     0.0277    -4.3210     0.0350     4.5130     0.0430    14.8081     0.0003    15.0383     0.0019    14.4237     0.0013
139.080383301  -36.588939667     0.2228     0.0188    -4.5040     0.0240     4.5770     0.0320    14.0237     0.0002    14.2504     0.0010    13.6481     0.0009
139.065338135  -36.573554993     0.2182     0.0960    -4.6120     0.1270     4.5340     0.1500    17.3485     0.0009    17.8535     0.0084    16.6819     0.0043
138.991409302  -36.697723389     0.2387     0.0297    -4.4850     0.0390     4.5020     0.0430    15.0121     0.0003    15.2458     0.0018    14.6281     0.0011
139.074081421  -36.579643250     0.3076     0.0818    -4.5950     0.1080     4.5110     0.1320    17.2193     0.0009    17.5955     0.0080    16.6538     0.0072
138.918502808  -36.643554688     0.2732     0.0479    -4.4730     0.0590     4.5570     0.0760    16.2816     0.0005    16.5791     0.0043    15.8115     0.0032
139.076934814  -36.581802368     0.2601     0.0194    -4.3650     0.0250     4.5590     0.0320    14.1144     0.0003    14.3173     0.0012    13.7780     0.0020
139.080383301  -36.585018158     0.2860     0.0188    -4.4390     0.0250     4.5770     0.0320    14.0178     0.0002    14.2142     0.0010    13.6858     0.0010
139.065444946  -36.570781708     0.2437     0.0266    -4.3430     0.0370     4.7620     0.0440    14.9543     0.0003    15.1514     0.0018    14.6159     0.0022
139.096267700  -36.642414093     0.2735     0.0201    -4.4320     0.0250     4.5960     0.0330    13.8803     0.0002    14.0598     0.0017    13.5496     0.0021
139.064376831  -36.684459686     0.2448     0.0274    -4.4040     0.0340     4.5780     0.0410    14.9679     0.0003    15.1682     0.0013    14.6322     0.0012
139.025756836  -36.554733276     0.2678     0.0440    -4.4000     0.0590     4.5700     0.0740    15.9950     0.0005    16.2819     0.0021    15.5496     0.0017
139.094100952  -36.604549408     0.2047     0.0525    -4.4400     0.0690     4.4920     0.0830    16.4200     0.0006    16.7399     0.0038    15.9419     0.0036
139.074935913  -36.679534912     0.2636     0.0251    -4.4220     0.0320     4.5420     0.0380    14.8098     0.0003    15.0010     0.0013    14.4859     0.0018
138.943664551  -36.684684753     0.2263     0.0615    -4.4000     0.0740     4.7190     0.0910    16.5526     0.0006    16.9352     0.0062    16.0099     0.0038
139.085144043  -36.584278107     0.2528     0.0621    -4.4460     0.0810     4.5810     0.1020    16.7543     0.0007    17.1073     0.0047    16.2512     0.0050
