Teff log(g) logZ  L=Teff^4/g   A218     L/A218  A218(i)/A218(i-1) L/A218(i)/L/A218(i-1) 
5750.0  3.5  0.5  3.45678e+11  2.15540  1.60378e+11  1.14576e+00  1.04262e+00 
6000.0  3.5  0.5  4.09831e+11  2.40117  1.70680e+11  1.11403e+00  1.06424e+00 
6250.0  3.5  0.5  4.82525e+11  2.58598  1.86593e+11  1.07697e+00  1.09323e+00 
6500.0  3.5  0.5  5.64486e+11  2.70636  2.08578e+11  1.04655e+00  1.11782e+00 
6750.0  3.5  0.5  6.56470e+11  2.78074  2.36078e+11  1.02748e+00  1.13184e+00 
7000.0  3.5  0.5  7.59263e+11  2.82643  2.68630e+11  1.01643e+00  1.13789e+00 
7250.0  3.5  0.5  8.73679e+11  2.85486  3.06032e+11  1.01006e+00  1.13923e+00 
7500.0  3.5  0.5  1.00056e+12  2.87307  3.48256e+11  1.00638e+00  1.13797e+00 
7750.0  3.5  0.5  1.14079e+12  2.88489  3.95437e+11  1.00411e+00  1.13548e+00 
8000.0  3.5  0.5  1.29527e+12  2.89346  4.47654e+11  1.00297e+00  1.13205e+00 
8250.0  3.5  0.5  1.46493e+12  2.89948  5.05238e+11  1.00208e+00  1.12863e+00 
8500.0  3.5  0.5  1.65073e+12  2.90365  5.68501e+11  1.00144e+00  1.12522e+00 
8750.0  3.5  0.5  1.85367e+12  2.90696  6.37666e+11  1.00114e+00  1.12166e+00 
9000.0  3.5  0.5  2.07477e+12  2.90954  7.13092e+11  1.00089e+00  1.11829e+00 
9250.0  3.5  0.5  2.31508e+12  2.91180  7.95070e+11  1.00078e+00  1.11496e+00 
9500.0  3.5  0.5  2.57569e+12  2.91418  8.83849e+11  1.00082e+00  1.11166e+00 
9750.0  3.5  0.5  2.85771e+12  2.91658  9.79816e+11  1.00082e+00  1.10858e+00 
10000.0  3.5  0.5  3.16228e+12  2.91889  1.08338e+12  1.00079e+00  1.10570e+00 
10250.0  3.5  0.5  3.49056e+12  2.92113  1.19494e+12  1.00077e+00  1.10297e+00 
10500.0  3.5  0.5  3.84377e+12  2.92303  1.31499e+12  1.00065e+00  1.10047e+00 
10750.0  3.5  0.5  4.22312e+12  2.92471  1.44395e+12  1.00057e+00  1.09806e+00 
11000.0  3.5  0.5  4.62989e+12  2.92609  1.58228e+12  1.00047e+00  1.09580e+00 
11250.0  3.5  0.5  5.06536e+12  2.92735  1.73036e+12  1.00043e+00  1.09358e+00 
11500.0  3.5  0.5  5.53084e+12  2.92837  1.88871e+12  1.00035e+00  1.09152e+00 
11750.0  3.5  0.5  6.02770e+12  2.92916  2.05782e+12  1.00027e+00  1.08954e+00 
12000.0  3.5  0.5  6.55730e+12  2.92971  2.23821e+12  1.00019e+00  1.08766e+00 
12250.0  3.5  0.5  7.12106e+12  2.93009  2.43032e+12  1.00013e+00  1.08583e+00 
12500.0  3.5  0.5  7.72040e+12  2.93030  2.63468e+12  1.00007e+00  1.08409e+00 
12750.0  3.5  0.5  8.35681e+12  2.93038  2.85179e+12  1.00003e+00  1.08240e+00 
