   AGE            L/Lsun         Fpp            Fdp       Fhe3HE3         Fhe3he4          Fbe           Fli7p           Fbe7p         Ftotpp
   4.2336575756  0.1316400E+01  0.2086602E-09  0.7567629E+03  0.6286085E-32  0.6012390E-37  0.0000000E+00  0.3314797E-16  0.0000000E+00  0.6054103E+04
   4.2414946532  0.1313577E+01  0.2191582E-09  0.7980120E+03  0.7339598E-32  0.7081368E-37  0.0000000E+00  0.3698148E-16  0.0000000E+00  0.6384096E+04
   4.2492859260  0.1310754E+01  0.2301806E-09  0.8414897E+03  0.8569280E-32  0.8339889E-37  0.0000000E+00  0.4125631E-16  0.0000000E+00  0.6731918E+04
   4.2570320957  0.1307932E+01  0.2417519E-09  0.8873084E+03  0.1000433E-31  0.9821256E-37  0.0000000E+00  0.4602233E-16  0.0000000E+00  0.7098467E+04
   4.2647369192  0.1305114E+01  0.2539025E-09  0.9356058E+03  0.1167944E-31  0.1156531E-36  0.0000000E+00  0.5133716E-16  0.0000000E+00  0.7484846E+04
   4.2724108346  0.1302291E+01  0.2666762E-09  0.9865744E+03  0.1363720E-31  0.1362111E-36  0.0000000E+00  0.5727097E-16  0.0000000E+00  0.7892595E+04
   4.2800405014  0.1299470E+01  0.2800784E-09  0.1040254E+04  0.1592078E-31  0.1603956E-36  0.0000000E+00  0.6388255E-16  0.0000000E+00  0.8322035E+04
   4.2876356357  0.1296655E+01  0.2941548E-09  0.1096848E+04  0.1858715E-31  0.1888747E-36  0.0000000E+00  0.7125674E-16  0.0000000E+00  0.8774784E+04
   4.2952094722  0.1293831E+01  0.3089624E-09  0.1156606E+04  0.2170576E-31  0.2224672E-36  0.0000000E+00  0.7949473E-16  0.0000000E+00  0.9252850E+04
   4.3027421390  0.1291007E+01  0.3244943E-09  0.1219523E+04  0.2534297E-31  0.2619776E-36  0.0000000E+00  0.8867112E-16  0.0000000E+00  0.9756186E+04
   4.3102324542  0.1288189E+01  0.3407783E-09  0.1285732E+04  0.2958246E-31  0.3084183E-36  0.0000000E+00  0.9888678E-16  0.0000000E+00  0.1028586E+05
   4.3176950896  0.1285372E+01  0.3578795E-09  0.1355521E+04  0.3453216E-31  0.3630932E-36  0.0000000E+00  0.1102780E-15  0.0000000E+00  0.1084417E+05
   4.3251357696  0.1282556E+01  0.3758492E-09  0.1429123E+04  0.4031476E-31  0.4275011E-36  0.0000000E+00  0.1229872E-15  0.0000000E+00  0.1143298E+05
   4.3325568100  0.1279728E+01  0.3947328E-09  0.1506751E+04  0.4707175E-31  0.5033872E-36  0.0000000E+00  0.1371682E-15  0.0000000E+00  0.1205400E+05
   4.3399297085  0.1276910E+01  0.4144933E-09  0.1588277E+04  0.5493326E-31  0.5924063E-36  0.0000000E+00  0.1529233E-15  0.0000000E+00  0.1270621E+05
   4.3472782959  0.1274095E+01  0.4352312E-09  0.1674141E+04  0.6410507E-31  0.6971124E-36  0.0000000E+00  0.1704754E-15  0.0000000E+00  0.1339313E+05
   4.3546107538  0.1271279E+01  0.4570136E-09  0.1764650E+04  0.7481545E-31  0.8203772E-36  0.0000000E+00  0.1900459E-15  0.0000000E+00  0.1411720E+05
   4.3619256425  0.1268463E+01  0.4798824E-09  0.1860005E+04  0.8731774E-31  0.9654275E-36  0.0000000E+00  0.2118565E-15  0.0000000E+00  0.1488004E+05
